timestamp;message
"2020-08-26T18:18:40.726599Z";"Unlinking the conveyor"
"2020-08-26T18:18:40.720144Z";"Whole cycle: <Cycle>1250</Cycle> seconds"
"2020-08-26T18:18:40.71989Z";"Dispensing cycle: <DispensingCycle>1205</DispensingCycle> seconds"
"2020-08-26T18:18:40.68579Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.PRODUCT_WORK_DONE"
"2020-08-26T18:18:40.67645Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_PRODUCT_DONE"
"2020-08-26T18:18:35.005028Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:18:26.486177Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:18:26.464195Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:18:17.751449Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:18:17.727304Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:18:07.891648Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:18:07.872238Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:17:57.452972Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:17:57.429438Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:17:49.427156Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:17:49.390245Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:17:35.839085Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:17:35.820971Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:17:25.500503Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:17:25.47059Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:17:13.923088Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:17:13.909779Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:17:06.910039Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:17:06.886764Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:16:58.756295Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:16:58.740957Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:16:51.335861Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:16:51.306079Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:16:43.58996Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:16:43.5693Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:16:29.521642Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:16:29.501702Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:16:21.583329Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:16:21.557715Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:16:07.828042Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:16:07.808901Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:15:51.140719Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:15:51.119486Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:15:37.598792Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:15:37.570605Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:15:30.44186Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:15:30.405948Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:15:14.56571Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:15:14.544672Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:15:01.431482Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:15:01.397291Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:14:54.181746Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:14:54.159811Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:14:41.020854Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
